title,time_added,description_excerpt,image_url
"2015 Volkswagen Polo 1.2 TSI Comfortline, Black with 26000km available now!",13 mins ago,"ot Lights, Multi-function steering.Very Low Mileage. FSH with Agents only.Finance arranged.Copy of ID, latest paysl",https://i.ebayimg.com/images/g/POQAAOSwPuhdbg4z/s-l200.jpg
2018 Volkswagen Polo Vivo Hatch 1.4 Trendline for sale!,13 mins ago,"ot Lights, Multi-function steering.Very Low Mileage.Finance arranged.Copy of ID, latest payslip, 3 months bank stat",https://i.ebayimg.com/images/g/4aUAAOSwdE9dbg5S/s-l200.jpg
2010 Volkswagen Polo 1.6 Comfortline Tiptronic for sale!,13 mins ago,"ot Lights, Multi-function steering.FSH with Agents.Finance arranged.Copy of ID, latest payslip, 3 months bank state",https://i.ebayimg.com/images/g/HmQAAOSwhZhdrWUU/s-l200.jpg
2018 Volkswagen Polo 1.0 TSi Trendline for sale!,13 mins ago,"g wheels and tyres.LED Spot lights.FSH. Balance of service plan and warranty.Finance arranged.Copy of ID, latest pa",https://i.ebayimg.com/images/g/PmQAAOSw3fFdnDRO/s-l200.jpg
2016 Volkswagen Polo 1.2 TSI Comfortline with Panoramic Roof for sale!,13 mins ago,"n,Pano Roof, upgraded blue tooth radio.Alloy Wheels, Spot Lights, Multi-function steering.FSH with VW agents.Financ",https://i.ebayimg.com/images/g/GIYAAOSw8gddkfum/s-l200.jpg
2018 Volkswagen Polo 1.0 Trendline for sale!,13 mins ago,"g wheels and tyres.LED Spot lights.Balance of service plan and warranty.Finance arranged.Copy of ID, latest payslip",https://i.ebayimg.com/images/g/gVsAAOSwi~FdnEL6/s-l200.jpg
2017 Volkswagen Polo 1.2 TSI Trendline for sale!,13 mins ago,"g wheels and tyres.Spot lights. Multi-function steering.Finance arranged.Copy of ID, latest payslip, 3 months bank ",https://i.ebayimg.com/images/g/visAAOSwiGRdoZJy/s-l200.jpg
2018 Volkswagen Polo Vivo Hatch 1.4 Trendline for sale!,13 mins ago,"g wheels and tyres.Spot lights. Air Con. Blue tooth radio.Finance arranged.Copy of ID, latest payslip, 3 months ban",https://i.ebayimg.com/images/g/LAsAAOSwWvtdpz-p/s-l200.jpg
2017 Volkswagen Polo 1.2 TSI Highline DSG for sale!,4 hrs ago,ty is like new...This one owner vehicle is in excellent condition.Can see it was always garaged and well care for.W,https://i.ebayimg.com/images/g/KHoAAOSwSRBdpcuL/s-l200.jpg
2010 Volkswagen Polo Hatchback,a mon ago,. 1.4 vivo 2010. Brand new tyres!,https://i.ebayimg.com/images/g/MgcAAOSwAy1djM9q/s-l200.jpg
"Car Parts - Headlights, Tail Lights, Radiators, Mirrors etc - Quality Auto Parts and Equipment ",a day ago,"t online range of automotive parts (body, electrical, service, suspension, etc) equipment, specialized tools, diagn",https://i.ebayimg.com/images/g/v94AAOSwx0hdCkvK/s-l200.jpg
2018 Volkswagen Polo 1.0 Trendline for sale!,13 mins ago,"g wheels and tyres.LED Spot lights.Balance of service plan and warranty.Finance arranged.Copy of ID, latest payslip",https://i.ebayimg.com/images/g/gVsAAOSwi~FdnEL6/s-l200.jpg
2017 Volkswagen Polo 1.2 TSI Trendline for sale!,13 mins ago,"g wheels and tyres.Spot lights. Multi-function steering.Finance arranged.Copy of ID, latest payslip, 3 months bank ",https://i.ebayimg.com/images/g/visAAOSwiGRdoZJy/s-l200.jpg
2018 Volkswagen Polo Vivo Hatch 1.4 Trendline for sale!,13 mins ago,"g wheels and tyres.Spot lights. Air Con. Blue tooth radio.Finance arranged.Copy of ID, latest payslip, 3 months ban",https://i.ebayimg.com/images/g/LAsAAOSwWvtdpz-p/s-l200.jpg
2015 Volkswagen Polo Vivo Hatch 1.4 Blueline NOW @ TOKYO DRIFT AUTOS,14 mins ago," BLUELINE NOW @ TOKYO DRIFT AUTOSFULL SERVICE HISTORYCD/RADIOCENTRAL LOCKINGALARM, AIRCON, AIRBAGSPOWER STEERING,  ",https://i.ebayimg.com/images/g/CCcAAOSw~rBdrxCl/s-l200.jpg
2011 Volkswagen Polo 6 1.6 Comfortline with only 101582km immaculate condition for more info call 02,15 mins ago,5kms 101582Full Service History Spare keys PowersteeringAirbagsAirconFactory fitted radioMulti function steeringEle,https://i.ebayimg.com/images/g/b6YAAOSwRBFdrxBr/s-l200.jpg
2018 Volkswagen Polo VIVO 1.4 Trendline 5DR Call Jooma 0715843388,17 mins ago,h only 28000kms like new condition for more info Contact Jooma for more information -  0715843388jooma@tokyodriftau,https://i.ebayimg.com/images/g/fnYAAOSwTW9drw~Y/s-l200.jpg
"2013 Volkswagen Polo Vivo Hatch 1.4 Base, Grey with 96861km for more info call 021 5919449",19 mins ago," Base, Grey with 96861 kmR124995Full Service History  Spare KeysAlarmMp3 RadioUSB PortsOnly  at  TOKYO DRIFT AUTOS ",https://i.ebayimg.com/images/g/mqkAAOSwwO9drw90/s-l200.jpg
Perle Du Cap Guest House,20 mins ago," Cape"", is situated in the lovely town of Paarl and is a private villa that can be rented as a whole or as individu",https://i.ebayimg.com/images/g/0BsAAOSw9LRcwoZM/s-l200.jpg
STUNNING MODERN 2 BEDROOM GROUND FLOOR APARTMENT,21 mins ago,"cious ultra-modern kitchen with integrated Smeg appliances, this stunning 2-bedroom, 2-bathroom apartment opens ont",https://i.ebayimg.com/images/g/KwgAAOSwDwJdXZBL/s-l200.jpg
2011 Volkswagen Polo 1.4 Comfortline 5DR Contact Jooma 0715843388,22 mins ago," 1.4 with 111000kms, , Full Service History, Aircon, Airbags,  Powersteering, Alarm, CD/Radio, Central Locking, Sel",https://i.ebayimg.com/images/g/9CoAAOSwSxtdrw7C/s-l200.jpg
2x14 Inch Volkswagen Polo Mags For Sale,23 mins ago,"JxET43xH2R750 each per rim.Fill your set or use on trailer,caravan,racing or keep as back-up emergency sparewheel.D",https://i.ebayimg.com/images/g/c3sAAOSwupVdrw6H/s-l200.jpg
GREENBELT STAND WITH GORGEOUS VIEWS IN VAL DE VIE,23 mins ago,"erlooking a wide greenbelt and waterway, with absolutely beautiful views of the Simonsberg and the Franschhoek moun",https://i.ebayimg.com/images/g/4iAAAOSw4o1c3E5L/s-l200.jpg
14 Inch VW Polo Wheels With Tyres For Sale-5x100,24 mins ago, Sale   Goodyear Tyres   60% Thread   Fits Volkswagen Polo all other vehicles with Pcd 5x100.  5j-14-H2-et35      C,https://i.ebayimg.com/images/g/B~IAAOSwPsBdrw4Y/s-l200.jpg
VW POLO VIVO STRIPPING FOR SPARES,25 mins ago,ems Available: 1,https://i.ebayimg.com/images/g/DFIAAOSwlCRdluYd/s-l200.jpg
New Full HD Dash Cam Recorder ON SPECIAL,25 mins ago,"R599, Now Only R399!Features:1080P Full HD image quality, record traffic incidents, scenic travel, unexpected momen",https://i.ebayimg.com/images/g/3DgAAOSwhOFdJJ3f/s-l200.jpg
"2015 Volkswagen Polo Vivo1.4 Conceptline 5DR, Only 58910km, Immac Cond for more info call 021 591944",26 mins ago, WITH 58910 KMFULL SERVICE HISTORYAIRCONAIRBAGSRADIO / CD /USBIMMACULATE CONDITIONOnly  at  TOKYO DRIFT AUTOS 247 V,https://i.ebayimg.com/images/g/tQsAAOSwE91drw3b/s-l200.jpg
2013 Volkswagen Polo Vivo 1.4 with 67970kms @ TOKYO DRIFT AUTOS,26 mins ago,"h 67 970kms for sale @ only R129 995....Aircon, Airbags, Power Steering, Central Locking and Alarm....Immaculate Co",https://i.ebayimg.com/images/g/eEUAAOSwwlJdrw3O/s-l200.jpg
2012 Volkswagen Polo 1.4 Comfortline NOW @ TOKYO DRIFT AUTOS,27 mins ago,"e  with 150 871kms @ Only R169 995..... Full Service History, Leather Interior, Multi-function Steering Wheel, Elec",https://i.ebayimg.com/images/g/JtUAAOSwnGldrw2I/s-l200.jpg
"2013 VW Polo 1.4 Comfortline, Only 117000km's, Immac Cond for more info call 021 5919449",28 mins ago,"line.  Comes with panoramic roof, FULL SERVICE HISTORY   Mags. Spare keys. Spotlights.Only  at  TOKYO DRIFT AUTOS 2",https://i.ebayimg.com/images/g/wwEAAOSwAPpdrw1a/s-l200.jpg
2013 Volkswagen Polo Vivo Sedan 1.4 Trendline,28 mins ago," its in great condition.This car is a looker and very popular.Air Conditioning, Airbags, Central Locking, Drink Hol",https://i.ebayimg.com/images/g/9j0AAOSwyGpdnq32/s-l200.jpg
Car Hire Car Rental Monthly Car Hire,2 mons ago,"ly Rate R525 (Min 2 days)Weekly Rate R2,750Monthly Rate R6,750Km 100 Free Daily. Additional Km @ R2 eaRefundable De",https://i.ebayimg.com/images/g/zKYAAOSwUElcdCXG/s-l200.jpg
2013 Volkswagen Polo Vivo Sedan,14 days ago, sale with only 174 497KM. 1.6 Model_ Selling at R92 000.00.When interested in buying this vehicle ask the followin,https://i.ebayimg.com/images/g/FKAAAOSwJcNdnMTT/s-l200.jpg
2008 Volkswagen Polo Vivo Hatch 1.4 Trendline,9 hrs ago,ce history.No deposit required.Same day finance available.Trade ins accepted.Contact Margie on 0845478613Volkswagen,https://i.ebayimg.com/images/g/Y0gAAOSwBEJdka-Y/s-l200.jpg
2016 Volkswagen Polo 1.4 Tdi Highline,28 mins ago,"cars.This car is a looker and very popular.Air Conditioning, Airbags, Auxiliary Audio Input, Central Locking, Drink",https://i.ebayimg.com/images/g/21wAAOSwxJxdlcBl/s-l200.jpg
2016 Volkswagen Polo 1.4 Tdi Trendline,28 mins ago,"cars.They drive very well, are economical and affordable.Air Conditioning, Airbags, Central Locking, Drink Holder, ",https://i.ebayimg.com/images/g/Q~AAAOSw0gVdlcB2/s-l200.jpg
2016 Volkswagen Polo Sedan 1.4I Trendline - Best buy! Come view many more!,28 mins ago," our floor, so pop in.This car is very popular, and at this price and its condition, it should sell very quickly.Ai",https://i.ebayimg.com/images/g/IkQAAOSw-eldngmW/s-l200.jpg
2015 Volkswagen Polo Vivo Hatch 1.4 Trendline - Over 120 cars to view!,28 mins ago," our floor, so pop in. This car is a looker and very popular. Air Conditioning, Airbags, Bluetooth Ready, Drink Hol",https://i.ebayimg.com/images/g/S4gAAOSwZ~pdqJE0/s-l200.jpg
Brand New Universal Boot Spoilers,30 mins ago,"lers @ R249 eachFeatures :1.Made with flexible and environmental-friendly rubber, With a glossy Black Look.2.Give y",https://i.ebayimg.com/images/g/UYQAAOSwsc5dPed3/s-l200.jpg
2014 Volkswagen Polo 1.2 TSI Trendline AVAILABLE @ TOKYO DRIFT AUTOS!,30 mins ago,"ine, with 104 332kms @ Only R169 995..... Full Service History, Central Locking, Airbags, Aircon, Electric Windows,",https://i.ebayimg.com/images/g/RQsAAOSwJUBdrww2/s-l200.jpg
Bumpers For Sale,31 mins ago,"016Nissan X-Trail - Rear Bumper 2009-2014 
Nissan X-Trail - Rear Bumper 2014 
Nissan X-Trail - Rear Bumper 2005Opel",https://i.ebayimg.com/images/g/684AAOSw~HRdrwxz/s-l200.jpg
2013 Volkswagen Polo Vivo 5DR Contact Jooma 0715843388,36 mins ago,"- - 0715843388jooma@tokyodriftautos.co.zaImmaculate Condition, No Deposit...No License Required...2 Year Extended M",https://i.ebayimg.com/images/g/ZpkAAOSwhQpdrwtu/s-l200.jpg
THE ACRES AT VAL DE VIE ESTATE OFFERS OPEN LIVING SPACES,41 mins ago,new development – The Acres – consisting of a selection of stands from 700 m² to an Acre in size (4040 m²). Followi,https://i.ebayimg.com/images/g/3NUAAOSwJ7FcwvCe/s-l200.jpg
"2015 Volkswagen Polo hatch 1.2TSI Comfortline, 55000 km",41 mins ago,"TSI Comfortline, 5-door hatch, red, 55000 km, 1197 cc engine, 66 kW. Neat 2015 model with only 55,000km, full servi",https://i.ebayimg.com/images/g/-gUAAOSw15ldjhp~/s-l200.jpg
Toyota Quantum Taxi Frames and Windscreen SPECIALS ,42 mins ago,ween Hospital and Game ( Next door to Dekra ) N1 Tell: 021 447 3092Strand Tell: 021 850 8009 National Tell: 0861 57,https://i.ebayimg.com/images/g/UeUAAOSw4dNdb4vt/s-l200.jpg
VW Polo 1.9 TDi ASZ Engine for sale at Mikes Place,42 mins ago,s Available: 3MIKES PLACE RACING CAPE TOWN BUY WITH CONFIDENCE ! 20 YEARS OF TRADING !CALL NOW FOR MORE INFO :IRFAA,https://i.ebayimg.com/images/g/O1wAAOSwvJVdppox/s-l200.jpg
VW POLO PLAYA 2001 STRIPPING FOR SPARES,44 mins ago,ARESItems Available: 1,https://i.ebayimg.com/images/g/GFsAAOSwEYBdluZP/s-l200.jpg
VW Polo BBY 1.4 Engine For Sale No Trade in Needed,an hr ago,"y for more information:Chris - 072 498 0012email: chris@motorsandmore.co.zawww.motorsandmore.co.za7 Brass Street, B",https://i.ebayimg.com/images/g/8LEAAOSwoSVc8j5-/s-l200.jpg
New VW Polo/Golf /Audi 1.6 TDi Injectors 03L130277B/S,an hr ago,ave up to 60% on new original injectorsDelivered to your nearest PostNet6 month warrantyTo fit the following:Engine,https://i.ebayimg.com/images/g/XtoAAOSwVoVdrwhy/s-l200.jpg
2015 Volkswagen Polo Vivo GP 1.4 CONCEPTLINE 5DR Contact Jooma 0715843388,an hr ago,"- - 0715843388jooma@tokyodriftautos.co.zaImmaculate Condition, No Deposit...No License Required..2 Year Extended Mo",https://i.ebayimg.com/images/g/qR4AAOSwU2Jdrwev/s-l200.jpg
2012 VOLKSWAGEN POLO VIVO 1.4 5Dr,an hr ago,"delivery fees Contact Mareldia 081 359 9123,J.C. 084 5709 124,Vince 067 0271 679  landline 021-5920943 We offer fin",https://i.ebayimg.com/images/g/sqcAAOSw1zddNceg/s-l200.jpg
2013 VOLKSWAGEN POLO GTi 1.4TSi DSG,an hr ago,"lloy Wheels,Automatic,Central Locking,Drink Holder,Electric Mirrors,Electric Windows,Fog Lights,Full Service Histor",https://i.ebayimg.com/images/g/ME4AAOSwb~1dfPdh/s-l200.jpg
2012 VOLKSWAGEN POLO 1.6 TDI COMFORTLINE 5DR,an hr ago,"delivery fees Contact Mareldia 081 359 9123,J.C. 084 5709 124,Vincent 0629734510, landline 021-5920943 We offer fin",https://i.ebayimg.com/images/g/Ph0AAOSwekxdk2Gy/s-l200.jpg
2016 VOLKSWAGEN POLO VIVO GP 1.4 XPRESS 5DR,an hr ago,"delivery fees Contact Mareldia 081 359 9123,J.C. 084 5709 124,Vince 067 0271 679  landline 021-5920943 We offer fin",https://i.ebayimg.com/images/g/rwkAAOSwTR9dmKcj/s-l200.jpg
2016 Volkswagen Polo 1.4 TDI Trendline,5 days ago,off the chartPerfect runaround in styleContact Tian 0600705301Volkswagen Polo 1.4 TDI TrendlinePower -  55 kW @ 300,https://i.ebayimg.com/images/g/7n4AAOSw4wZdk0jc/s-l200.jpg
2016 Volkswagen Polo Vivo Hatch 1.4 Trendline,12 days ago,"rs with alarm, electric windows, blue tooth radio with USB. Accident free with full service history and a spare key",https://i.ebayimg.com/images/g/T1oAAOSwBx1dnz-7/s-l200.jpg
2016  VW Polo 1.4 Trendline.,a day ago,"ion with power steering aircon radio with bluetooth.
Major service and cambelt recently done.
74000 km on clock
Fin",https://i.ebayimg.com/images/g/c3MAAOSwkEFdrXKb/s-l200.jpg
4 BEDROOM LAKESIDE HOME,an hr ago,nds Properties. Perfectly positioned on the lake overlooking the breathtaking Simonsberg mountains and natural surr,https://i.ebayimg.com/images/g/O3MAAOSwDXFcypmT/s-l200.jpg
2012 Volkswagen Polo 1.6 Comfortline...CALL FIROZ 0600386563,an hr ago,"E WITH ONLY 77355KM @ AWESOME AUTOSFOR ONLY R149995.00FULL SERVICE HISTORYCENTRAL LOCKINGALARM, AIRCON, AIRBAGSELEC",https://i.ebayimg.com/images/g/ZFEAAOSwLh9drwTK/s-l200.jpg
2013 Volkswagen Polo 1.4 Comfortline...WITH 102187 KMS!!! CALL FIROZ 0600386563,an hr ago,"ne Now AVAILABLE @ AWESOME AUTOSFull Service HistoryPower Steering, Electric MirrorsCentral Locking, Electric Windo",https://i.ebayimg.com/images/g/pkQAAOSwlnxdrwQ2/s-l200.jpg
2012 Volkswagen Polo Vivo Hatch 1.4 Base with 127544km available now!,an hr ago," Base with 127544km FOR ONLY R119995.00Service History, Aircon, Airbags, Powersteering, Alarm, Central Locking, Spa",https://i.ebayimg.com/images/g/rEQAAOSweoRdrwPz/s-l200.jpg
2007 Volkswagen Polo Sedan,an hr ago,"price. The engine was recently overhauled through Baron's, and runs like a dream. Annual services done through Baro",https://i.ebayimg.com/images/g/uOYAAOSwOzddrwOB/s-l200.jpg
2012 Volkswagen Polo Classic 1.6 Vivo,an hr ago,can be arranged and trade in's welcome please contact Steve 0832610966 or Henry 0726494992Volkswagen Polo Classic 1,https://i.ebayimg.com/images/g/fUsAAOSwAGxdmutP/s-l200.jpg
2005 Volkswagen Polo Classic 1.4 Trendline,an hr ago,ll maintained. Trade in's welcome please contact Steve 0832610966 or Henry 0726494992Volkswagen Polo Classic 1.4 Tr,https://i.ebayimg.com/images/g/hzwAAOSwOFZdrsZt/s-l200.jpg
2012 Volkswagen Polo Vivo Hatch 1.4 Base...WITH 96861 KMS!!!CALL FIROZ 0600386563,an hr ago," Base, Grey with 96861 kmR124995Full Service History  Spare KeysAlarmMp3 RadioUSB PortsIMMACULATE CONDITION!!!No De",https://i.ebayimg.com/images/g/s4UAAOSwD6VdrwK5/s-l200.jpg
18 INCH 5100 PCD Mag Wheels,an hr ago,nt.Items Available: 8Viper Wheel and TyreOlive Grove Industrial EstateOld Paardevlei RoadSomerset West,https://i.ebayimg.com/images/g/pqYAAOSwWspdd7Yu/s-l200.jpg
2013 Volkswagen Polo Vivo Hatch 1.4 Base...WITH 96861 KMS!!! CALL FIROZ 0600386563,an hr ago," Base, Grey with 96861 KMS!!!R124995Full Service History  Spare KeysAlarmMp3 RadioUSB PortsOnly  at  AWESOME AUTOS ",https://i.ebayimg.com/images/g/ExAAAOSwDhxdrwKV/s-l200.jpg
2010 Volkswagen Polo 1.6 Comfortline ...WITH 136413 KMS!!! CALL FIROZ 0600386563,an hr ago,"e...WITH 136413 KMS!!! Full Service History,Power Steering,Multi-Function Steering,Aircon,Airbags,Electric Windows,",https://i.ebayimg.com/images/g/Al8AAOSwaL1drwJ0/s-l200.jpg
2012 VW Polo Vivo Sedan 1.6 Priced to Sell!,an hr ago,ll service historyRoadworthy includedSpare keyAirconRemote Central LockingRadio/CDTyres still goodWindscreen goodVe,https://i.ebayimg.com/images/g/g7oAAOSw6zNdbMjN/s-l200.jpg
2014 Volkswagen Polo 1.6 Comfortline....WITH 57945 KMS!!! CALL FIROZ 0600386563,an hr ago,"e...WITH 57945 KMS!!!Power Steering,Multi-Function Steering,Electric Windows,Central Locking,Airbags,Aircon,Towbar,",https://i.ebayimg.com/images/g/CuIAAOSwVR9drwI2/s-l200.jpg
Performance Exhaust Systems,an hr ago," Stainless Steel for AUDI, VW GOLF, POLO , SCIROCCO ( TURBO MODELS)Items Available: 10Viper Wheel and TyreOlive Gro",https://i.ebayimg.com/images/g/cNcAAOSwPHJdFZaL/s-l200.jpg
Polo Comfortline Wheels R2200 Ph 082 9510486,an hr ago,"
R2200
Ph 0829510486


",https://i.ebayimg.com/images/g/vfwAAOSwkYZdrwGk/s-l200.jpg
MAGNIFICENT HOME ON THE GOLF COURSE,an hr ago,"lity finishes and architectural flow, this beautiful home boasts a true sense of style and elegance, offering moder",https://i.ebayimg.com/images/g/0ZIAAOSw0VhdDIzO/s-l200.jpg
Number Plate Holder with Reverse Camera,an hr ago,"mera, Was R549, Now Only R399High quality camera mounted on top with PAL format. Features adjustable screws to chan",https://i.ebayimg.com/images/g/OWkAAOSwZDpdOHl9/s-l200.jpg
2015 Volkswagen Polo Vivo 1.4 Trendline SEDAN with 52232kms @ Prestige Autos ON 021 592 7844,an hr ago,"ehicles: WWW.PRESTIGEAUTOS.CO.ZA2015 Volkswagen Polo Vivo 1.4 TRENDLINE SEDAN with 52232kms, , Full Service History",https://i.ebayimg.com/images/g/EogAAOSwijBdrwAH/s-l200.jpg
"Huge Bundle of Designer Clothing - Dresses, Skirts and Tops - Size Small/XS ZAR3000",2 hrs ago,"wnsizing my wardrobe. I have a large selection of beautiful dresses, skirts and tops which I'm selling as a bundle ",https://i.ebayimg.com/images/g/rHUAAOSwTe1drv2M/s-l200.jpg
2016 Volkswagen Polo 1.2 TSI Comfortline,2 hrs ago,ECORDAIR CONDITIONERELECTRIC WINDOWSMF STEERING WHEELMAGSFINANCE AVAILABLETRADE-INS WELCOMEVolkswagen Polo 1.2 TSI ,https://i.ebayimg.com/images/g/aj4AAOSwS1JdqHAW/s-l200.jpg
"2018 Volkswagen Polo Sedan 1.6i Comfortline, White with 25200km available now!",8 hrs ago,ANCE AVAILABLE WITH ALL BANKSOPTIONAL AVAILABLE: EXTENDED WARRANTY/SERVICE PLAN/MOTOR PLAN TRADE INS WELCOME NATION,https://i.ebayimg.com/images/g/79IAAOSwx4BdlMBr/s-l200.jpg
2019 Volkswagen Polo Hatch 1.0 TSI Comfortline,10 hrs ago,"countrywide Pre-owned retailer with good old family values. #uringwebringOur core focus is on appraisals, buying, f",https://i.ebayimg.com/images/g/GnwAAOSwai5dp0~D/s-l200.jpg
=75000km=VOLKSWAGEN  POLO 1.4 Eclipse,7 hrs ago,"IMITED KM,S MECHANICAL WARRANTY INCLUDED!!! THIS MONTH ONLY !!!(Terms and Conditions below) Please view our website",https://i.ebayimg.com/images/g/YiMAAOSwLP9dlDZ0/s-l200.jpg
Performance Exhaust Systems,an hr ago," Stainless Steel for AUDI, VW GOLF, POLO , SCIROCCO ( TURBO MODELS)Items Available: 10Viper Wheel and TyreOlive Gro",https://i.ebayimg.com/images/g/cNcAAOSwPHJdFZaL/s-l200.jpg
Polo Comfortline Wheels R2200 Ph 082 9510486,an hr ago,"
R2200
Ph 0829510486


",https://i.ebayimg.com/images/g/vfwAAOSwkYZdrwGk/s-l200.jpg
MAGNIFICENT HOME ON THE GOLF COURSE,an hr ago,"lity finishes and architectural flow, this beautiful home boasts a true sense of style and elegance, offering moder",https://i.ebayimg.com/images/g/0ZIAAOSw0VhdDIzO/s-l200.jpg
Number Plate Holder with Reverse Camera,an hr ago,"mera, Was R549, Now Only R399High quality camera mounted on top with PAL format. Features adjustable screws to chan",https://i.ebayimg.com/images/g/OWkAAOSwZDpdOHl9/s-l200.jpg
2015 Volkswagen Polo Vivo 1.4 Trendline SEDAN with 52232kms @ Prestige Autos ON 021 592 7844,an hr ago,"ehicles: WWW.PRESTIGEAUTOS.CO.ZA2015 Volkswagen Polo Vivo 1.4 TRENDLINE SEDAN with 52232kms, , Full Service History",https://i.ebayimg.com/images/g/EogAAOSwijBdrwAH/s-l200.jpg
"Huge Bundle of Designer Clothing - Dresses, Skirts and Tops - Size Small/XS ZAR3000",2 hrs ago,"wnsizing my wardrobe. I have a large selection of beautiful dresses, skirts and tops which I'm selling as a bundle ",https://i.ebayimg.com/images/g/rHUAAOSwTe1drv2M/s-l200.jpg
2016 Volkswagen Polo 1.2 TSI Comfortline,2 hrs ago,ECORDAIR CONDITIONERELECTRIC WINDOWSMF STEERING WHEELMAGSFINANCE AVAILABLETRADE-INS WELCOMEVolkswagen Polo 1.2 TSI ,https://i.ebayimg.com/images/g/aj4AAOSwS1JdqHAW/s-l200.jpg
2014 Volkswagen Polo 1.2tsi comfortline only 18000km,2 hrs ago,"unroof, only 18000km,finance available and trade ins welcome, contact david 073 654 1098",https://i.ebayimg.com/images/g/l3sAAOSwP-9drv2Z/s-l200.jpg
